function_name,input_shape,output_shape,notes
LET,scalar,scalar,input:default; output:default
LINEST,scalar,matrix,input:default; output:matrix_output_list
LN,scalar,scalar,input:default; output:default
LOG,scalar,scalar,input:default; output:default
LOG10,scalar,scalar,input:default; output:default
LOGEST,scalar,matrix,input:default; output:matrix_output_list
LOGNORM.DIST,scalar,scalar,input:default; output:default
LOGNORM.INV,scalar,scalar,input:default; output:default
LOOKUP,scalar,scalar,input:default; output:default
LOWER,scalar,scalar,input:default; output:default
LT,scalar,scalar,input:default; output:default
LTE,scalar,scalar,input:default; output:default
MAKEARRAY,scalar,spill,input:default; output:spill_list
MAP,scalar,spill,input:default; output:spill_list
MARGINOFERROR,scalar,scalar,input:default; output:default
MATCH,scalar,scalar,input:default; output:default
MAX,scalar,scalar,input:default; output:default
MAXA,scalar,scalar,input:default; output:default
MAXIFS,scalar,scalar,input:default; output:default
MDETERM,scalar,scalar,input:default; output:default
MDURATION,scalar,scalar,input:default; output:default
MEDIAN,scalar,scalar,input:default; output:default
MID,scalar,scalar,input:default; output:default
MIDB,scalar,scalar,input:default; output:default
MIN,scalar,scalar,input:default; output:default
MINA,scalar,scalar,input:default; output:default
MINIFS,scalar,scalar,input:default; output:default
MINUS,scalar,scalar,input:default; output:default
MINUTE,scalar,scalar,input:default; output:default
MINVERSE,scalar,scalar,input:default; output:default
MIRR,scalar,scalar,input:default; output:default
MMULT,scalar,matrix,input:default; output:matrix_output_list
MOD,scalar,scalar,input:default; output:default
MODE,scalar,scalar,input:default; output:default
MODE.MULT,scalar,scalar,input:default; output:default
MODE.SNGL,scalar,scalar,input:default; output:default
MONTH,scalar,scalar,input:default; output:default
MROUND,scalar,scalar,input:default; output:default
MULTINOMIAL,scalar,scalar,input:default; output:default
MULTIPLY,scalar,scalar,input:default; output:default
MUNIT,scalar,scalar,input:default; output:default
N,scalar,scalar,input:default; output:default
NA,scalar,scalar,input:default; output:default
NE,scalar,scalar,input:default; output:default
NEGBINOM.DIST,scalar,scalar,input:default; output:default
NEGBINOMDIST,scalar,scalar,input:default; output:default
NETWORKDAYS,scalar,scalar,input:default; output:default
NETWORKDAYS.INTL,scalar,scalar,input:default; output:default
NOMINAL,scalar,scalar,input:default; output:default
NORM.DIST,scalar,scalar,input:default; output:default
NORM.INV,scalar,scalar,input:default; output:default
NORM.S.DIST,scalar,scalar,input:default; output:default
NORM.S.INV,scalar,scalar,input:default; output:default
NOT,scalar,scalar,input:default; output:default
NOW,scalar,scalar,input:default; output:default
NPER,scalar,scalar,input:default; output:default
NPV,scalar,scalar,input:default; output:default
NUMBERVALUE,scalar,scalar,input:default; output:default
OCT2BIN,scalar,scalar,input:default; output:default
OCT2DEC,scalar,scalar,input:default; output:default
OCT2HEX,scalar,scalar,input:default; output:default
ODD,scalar,scalar,input:default; output:default
ODDFPRICE,scalar,scalar,input:default; output:default
ODDFYIELD,scalar,scalar,input:default; output:default
ODDLPRICE,scalar,scalar,input:default; output:default
ODDLYIELD,scalar,scalar,input:default; output:default
OFFSET,scalar,scalar,input:default; output:default
OR,scalar,scalar,input:default; output:default
PDURATION,scalar,scalar,input:default; output:default
PEARSON,scalar,scalar,input:default; output:default
PERCENTILE,scalar,scalar,input:default; output:default
PERCENTILE.EXC,scalar,scalar,input:default; output:default
PERCENTILE.INC,scalar,scalar,input:default; output:default
PERCENTRANK,scalar,scalar,input:default; output:default
PERCENTRANK.EXC,scalar,scalar,input:default; output:default
PERCENTRANK.INC,scalar,scalar,input:default; output:default
PERMUT,scalar,scalar,input:default; output:default
PERMUTATIONA,scalar,scalar,input:default; output:default
PHI,scalar,scalar,input:default; output:default
PHONETIC,scalar,scalar,input:default; output:default
PI,scalar,scalar,input:default; output:default
PIVOTBY,scalar,spill,input:default; output:spill_list
PMT,scalar,scalar,input:default; output:default
POISSON.DIST,scalar,scalar,input:default; output:default
POW,scalar,scalar,input:default; output:default
POWER,scalar,scalar,input:default; output:default
PPMT,scalar,scalar,input:default; output:default
PRICE,scalar,scalar,input:default; output:default
PRICEDISC,scalar,scalar,input:default; output:default
PRICEMAT,scalar,scalar,input:default; output:default
PROB,scalar,scalar,input:default; output:default
PRODUCT,scalar,scalar,input:default; output:default
PROPER,scalar,scalar,input:default; output:default
PV,scalar,scalar,input:default; output:default
QUARTILE,scalar,scalar,input:default; output:default
QUARTILE.EXC,scalar,scalar,input:default; output:default
QUARTILE.INC,scalar,scalar,input:default; output:default
QUERY,scalar,scalar,input:default; output:default
QUOTIENT,scalar,scalar,input:default; output:default
RADIANS,scalar,scalar,input:default; output:default
RAND,scalar,scalar,input:default; output:default
RANDARRAY,scalar,spill,input:default; output:spill_list
RANDBETWEEN,scalar,scalar,input:default; output:default
RANK,scalar,scalar,input:default; output:default
RANK.AVG,scalar,scalar,input:default; output:default
RANK.EQ,scalar,scalar,input:default; output:default
RATE,scalar,scalar,input:default; output:default
RECEIVED,scalar,scalar,input:default; output:default
REDUCE,scalar,spill,input:default; output:spill_list
REGEXEXTRACT,scalar,scalar,input:default; output:default
REGEXMATCH,scalar,scalar,input:default; output:default
REGEXREPLACE,scalar,scalar,input:default; output:default
REGISTER.ID,scalar,scalar,input:default; output:default
REPLACE,scalar,scalar,input:default; output:default
REPLACEB,scalar,scalar,input:default; output:default
REPT,scalar,scalar,input:default; output:default
RIGHT,scalar,scalar,input:default; output:default
RIGHTB,scalar,scalar,input:default; output:default
ROMAN,scalar,scalar,input:default; output:default
ROUND,scalar,scalar,input:default; output:default
ROUNDDOWN,scalar,scalar,input:default; output:default
ROUNDUP,scalar,scalar,input:default; output:default
ROW,scalar,scalar,input:default; output:default
ROWS,scalar,scalar,input:default; output:default
RRI,scalar,scalar,input:default; output:default
RSQ,scalar,scalar,input:default; output:default
RTD,scalar,scalar,input:default; output:default
SCAN,scalar,spill,input:default; output:spill_list
SEARCH,scalar,scalar,input:default; output:default
SEARCHB,scalar,scalar,input:default; output:default
SEC,scalar,scalar,input:default; output:default
SECH,scalar,scalar,input:default; output:default
SECOND,scalar,scalar,input:default; output:default
SEQUENCE,scalar,spill,input:default; output:spill_list
SERIESSUM,scalar,scalar,input:default; output:default
SHEET,scalar,scalar,input:default; output:default
SHEETS,scalar,scalar,input:default; output:default
SIGN,scalar,scalar,input:default; output:default
SIN,scalar,scalar,input:default; output:default
SINH,scalar,scalar,input:default; output:default
SKEW,scalar,scalar,input:default; output:default
SKEW.P,scalar,scalar,input:default; output:default
SLN,scalar,scalar,input:default; output:default
SLOPE,scalar,scalar,input:default; output:default
SMALL,scalar,scalar,input:default; output:default
SORT,scalar,spill,input:default; output:spill_list
SORTBY,scalar,spill,input:default; output:spill_list
SORTN,scalar,spill,input:default; output:spill_list
SPARKLINE,scalar,spill,input:default; output:spill_list
SPLIT,scalar,spill,input:default; output:spill_list
SQRT,scalar,scalar,input:default; output:default
SQRTPI,scalar,scalar,input:default; output:default
STANDARDIZE,scalar,scalar,input:default; output:default
STDEV.P,scalar,scalar,input:default; output:default
STDEV.S,scalar,scalar,input:default; output:default
STDEVA,scalar,scalar,input:default; output:default
STDEVPA,scalar,scalar,input:default; output:default
STEYX,scalar,scalar,input:default; output:default
STOCKHISTORY,scalar,scalar,input:default; output:default
SUBSTITUTE,scalar,scalar,input:default; output:default
SUBTOTAL,scalar,scalar,input:default; output:default
SUM,scalar,scalar,input:default; output:default
SUMIF,scalar,scalar,input:default; output:default
SUMIFS,scalar,scalar,input:default; output:default
SUMPRODUCT,scalar,scalar,input:default; output:default
SUMSQ,scalar,scalar,input:default; output:default
SUMX2MY2,scalar,scalar,input:default; output:default
SUMX2PY2,scalar,scalar,input:default; output:default
SUMXMY2,scalar,scalar,input:default; output:default
SWITCH,scalar,scalar,input:default; output:default
SYD,scalar,scalar,input:default; output:default
T,scalar,scalar,input:default; output:default
T.DIST,scalar,scalar,input:default; output:default
T.DIST.2T,scalar,scalar,input:default; output:default
T.DIST.RT,scalar,scalar,input:default; output:default
T.INV,scalar,scalar,input:default; output:default
T.INV.2T,scalar,scalar,input:default; output:default
T.TEST,scalar,scalar,input:default; output:default
TAKE,scalar,spill,input:default; output:spill_list
TAN,scalar,scalar,input:default; output:default
TANH,scalar,scalar,input:default; output:default
TBILLEQ,scalar,scalar,input:default; output:default
TBILLPRICE,scalar,scalar,input:default; output:default
TBILLYIELD,scalar,scalar,input:default; output:default
TEXT,scalar,scalar,input:default; output:default
TEXTAFTER,scalar,scalar,input:default; output:default
TEXTBEFORE,scalar,scalar,input:default; output:default
TEXTJOIN,scalar,scalar,input:default; output:default
TEXTSPLIT,scalar,scalar,input:default; output:default
TIME,scalar,scalar,input:default; output:default
TIMEVALUE,scalar,scalar,input:default; output:default
TOCOL,scalar,spill,input:default; output:spill_list
TODAY,scalar,scalar,input:default; output:default
TOROW,scalar,spill,input:default; output:spill_list
TO_DATE,scalar,scalar,input:default; output:default
TO_DOLLARS,scalar,scalar,input:default; output:default
TO_PERCENT,scalar,scalar,input:default; output:default
TO_PURE_NUMBER,scalar,scalar,input:default; output:default
TO_TEXT,scalar,scalar,input:default; output:default
TRANSPOSE,scalar,matrix,input:default; output:matrix_output_list
TREND,scalar,matrix,input:default; output:matrix_output_list
TRIM,scalar,scalar,input:default; output:default
TRIMMEAN,scalar,scalar,input:default; output:default
TRIMRANGE,scalar,scalar,input:default; output:default
TRUE,scalar,scalar,input:default; output:default
TRUNC,scalar,scalar,input:default; output:default
TTEST,scalar,scalar,input:default; output:default
TYPE,scalar,scalar,input:default; output:default
UMINUS,scalar,scalar,input:default; output:default
UNARY_PERCENT,scalar,scalar,input:default; output:default
UNICHAR,scalar,scalar,input:default; output:default
UNICODE,scalar,scalar,input:default; output:default
UNIQUE,scalar,spill,input:default; output:spill_list
UPLUS,scalar,scalar,input:default; output:default
UPPER,scalar,scalar,input:default; output:default
VALUE,scalar,scalar,input:default; output:default
VALUETOTEXT,scalar,scalar,input:default; output:default
VAR.P,scalar,scalar,input:default; output:default
VAR.S,scalar,scalar,input:default; output:default
VARA,scalar,scalar,input:default; output:default
VARPA,scalar,scalar,input:default; output:default
VDB,scalar,scalar,input:default; output:default
VLOOKUP,scalar,scalar,input:default; output:default
VSTACK,scalar,spill,input:default; output:spill_list
WEBSERVICE,scalar,scalar,input:default; output:default
WEEKDAY,scalar,scalar,input:default; output:default
WEEKNUM,scalar,scalar,input:default; output:default
WEIBULL.DIST,scalar,scalar,input:default; output:default
WORKDAY,scalar,scalar,input:default; output:default
